MainTopic,SubTopic,Book,Chapter,Verse
Wisdom,Wisdom,Proverbs,1,2
Wisdom,Wisdom,Proverbs,1,3
Wisdom,Wisdom,Proverbs,1,5
Wisdom,Wisdom,Proverbs,1,6
Wisdom,Wisdom,Proverbs,1,7
