Section,MainTopic,SubTopic,Book,Chapter,Verse
"Creation, Earth, Animals",Earth,Land,Genesis,3,19
"Creation, Earth, Animals",Earth,Land,Genesis,3,23
"Creation, Earth, Animals",Earth,Land,Genesis,4,10
"Creation, Earth, Animals",Earth,Land,Genesis,4,11
"Creation, Earth, Animals",Earth,Land,Genesis,4,12

"========== EARTH ==========", , , , ,
"========== LIGHT ==========", , , , ,
"Creation, Earth, Animals",Earth,Light,Genesis,1,2
"Creation, Earth, Animals",Earth,Light,Genesis,1,3
"Creation, Earth, Animals",Earth,Light,Genesis,1,4
"Creation, Earth, Animals",Earth,Light,Genesis,1,5
"Creation, Earth, Animals",Earth,Light,Genesis,1,14
"Creation, Earth, Animals",Earth,Light,Genesis,1,15
"Creation, Earth, Animals",Earth,Light,Genesis,1,16
"Creation, Earth, Animals",Earth,Light,Genesis,1,17
"Creation, Earth, Animals",Earth,Light,Genesis,1,18

"========== EARTH ==========", , , , ,
"========== PLANTS TREES ==========", , , , ,
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,1,11
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,1,12
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,1,29
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,1,30
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,2,9
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,2,15
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,2,16
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,3,1
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,3,2
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,3,3
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,3,4
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,3,5
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,3,6
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,3,8
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,3,11
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,3,12
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,3,17
"Creation, Earth, Animals",Earth,"Plants, Trees",Genesis,3,22

"========== EARTH ==========", , , , ,
"========== PLANTS FRUITS SEEDS ==========", , , , ,
"Creation, Earth, Animals",Earth,"Plants, Fruits & Seeds",Genesis,1,11
"Creation, Earth, Animals",Earth,"Plants, Fruits & Seeds",Genesis,1,12
"Creation, Earth, Animals",Earth,"Plants, Fruits & Seeds",Genesis,1,29
"Creation, Earth, Animals",Earth,"Plants, Fruits & Seeds",Genesis,3,6
"Creation, Earth, Animals",Earth,"Plants, Fruits & Seeds",Genesis,3,12
"Creation, Earth, Animals",Earth,"Plants, Fruits & Seeds",Genesis,4,3

"========== EARTH ==========", , , , ,
"========== PLANTS GRASS HERBS THISTLES THORNS ==========", , , , ,
"Creation, Earth, Animals",Earth,"Plants, Grass, Herbs, Thistles & Thorns",Genesis,1,11
"Creation, Earth, Animals",Earth,"Plants, Grass, Herbs, Thistles & Thorns",Genesis,1,12
"Creation, Earth, Animals",Earth,"Plants, Grass, Herbs, Thistles & Thorns",Genesis,1,29
"Creation, Earth, Animals",Earth,"Plants, Grass, Herbs, Thistles & Thorns",Genesis,1,30
"Creation, Earth, Animals",Earth,"Plants, Grass, Herbs, Thistles & Thorns",Genesis,2,5
"Creation, Earth, Animals",Earth,"Plants, Grass, Herbs, Thistles & Thorns",Genesis,2,6
"Creation, Earth, Animals",Earth,"Plants, Grass, Herbs, Thistles & Thorns",Genesis,3,7
"Creation, Earth, Animals",Earth,"Plants, Grass, Herbs, Thistles & Thorns",Genesis,3,18

"========== EARTH ==========", , , , ,
"========== STONE GEMS MINERALS ==========", , , , ,
"Creation, Earth, Animals",Earth,"Stone, Gems & Minerals",Genesis,2,11
"Creation, Earth, Animals",Earth,"Stone, Gems & Minerals",Genesis,2,12

"========== EARTH ==========", , , , ,
"========== TIME ==========", , , , ,
"Creation, Earth, Animals",Earth,Time,Genesis,1,1
"Creation, Earth, Animals",Earth,Time,Genesis,1,5
"Creation, Earth, Animals",Earth,Time,Genesis,1,5
"Creation, Earth, Animals",Earth,Time,Genesis,1,13
"Creation, Earth, Animals",Earth,Time,Genesis,1,14
"Creation, Earth, Animals",Earth,Time,Genesis,1,19
"Creation, Earth, Animals",Earth,Time,Genesis,1,23
"Creation, Earth, Animals",Earth,Time,Genesis,1,31
"Creation, Earth, Animals",Earth,Time,Genesis,2,2
"Creation, Earth, Animals",Earth,Time,Genesis,2,3
"Creation, Earth, Animals",Earth,Time,Genesis,3,8
"Creation, Earth, Animals",Earth,Time,Genesis,3,14
"Creation, Earth, Animals",Earth,Time,Genesis,4,3

"========== EARTH ==========", , , , ,
"========== WATER ==========", , , , ,
"Creation, Earth, Animals",Earth,Water,Genesis,1,2
"Creation, Earth, Animals",Earth,Water,Genesis,1,6
"Creation, Earth, Animals",Earth,Water,Genesis,1,7
"Creation, Earth, Animals",Earth,Water,Genesis,1,9
"Creation, Earth, Animals",Earth,Water,Genesis,1,10
"Creation, Earth, Animals",Earth,Water,Genesis,1,20
"Creation, Earth, Animals",Earth,Water,Genesis,1,21
"Creation, Earth, Animals",Earth,Water,Genesis,1,22
"Creation, Earth, Animals",Earth,Water,Genesis,2,10
"Creation, Earth, Animals",Earth,Water,Genesis,2,11
"Creation, Earth, Animals",Earth,Water,Genesis,2,12
"Creation, Earth, Animals",Earth,Water,Genesis,2,13
"Creation, Earth, Animals",Earth,Water,Genesis,2,14

"========== EARTH ==========", , , , ,
"========== WEATHER ==========", , , , ,
"Creation, Earth, Animals",Earth,Weather,Genesis,2,5
"Creation, Earth, Animals",Earth,Weather,Genesis,2,6

"========== ANIMALS ==========", , , , ,
"========== BIRDS ==========", , , , ,
"Creation, Earth, Animals",Animals,Birds,Genesis,1,20
"Creation, Earth, Animals",Animals,Birds,Genesis,1,21
"Creation, Earth, Animals",Animals,Birds,Genesis,1,22
"Creation, Earth, Animals",Animals,Birds,Genesis,1,26
"Creation, Earth, Animals",Animals,Birds,Genesis,2,19
"Creation, Earth, Animals",Animals,Birds,Genesis,2,20

"========== ANIMALS ==========", , , , ,
"========== CREEPING THINGS ==========", , , , ,
"Creation, Earth, Animals",Animals,Creeping Things,Genesis,1,24
"Creation, Earth, Animals",Animals,Creeping Things,Genesis,1,25
"Creation, Earth, Animals",Animals,Creeping Things,Genesis,1,26
"Creation, Earth, Animals",Animals,Creeping Things,Genesis,3,1
"Creation, Earth, Animals",Animals,Creeping Things,Genesis,3,2
"Creation, Earth, Animals",Animals,Creeping Things,Genesis,3,4
"Creation, Earth, Animals",Animals,Creeping Things,Genesis,3,13
"Creation, Earth, Animals",Animals,Creeping Things,Genesis,3,14
"Creation, Earth, Animals",Animals,Creeping Things,Genesis,3,15




"========== ANIMALS ==========", , , , ,
"========== LAND ANIMALS ==========", , , , ,
"Creation, Earth, Animals",Animals,Land Animals,Genesis,1,24
"Creation, Earth, Animals",Animals,Land Animals,Genesis,1,25
"Creation, Earth, Animals",Animals,Land Animals,Genesis,1,26
"Creation, Earth, Animals",Animals,Land Animals,Genesis,1,28
"Creation, Earth, Animals",Animals,Land Animals,Genesis,2,19
"Creation, Earth, Animals",Animals,Land Animals,Genesis,2,20
"Creation, Earth, Animals",Animals,Land Animals,Genesis,3,1
"Creation, Earth, Animals",Animals,Land Animals,Genesis,3,2
"Creation, Earth, Animals",Animals,Land Animals,Genesis,3,3
"Creation, Earth, Animals",Animals,Land Animals,Genesis,3,4
"Creation, Earth, Animals",Animals,Land Animals,Genesis,3,5
"Creation, Earth, Animals",Animals,Land Animals,Genesis,3,13
"Creation, Earth, Animals",Animals,Land Animals,Genesis,3,14
"Creation, Earth, Animals",Animals,Land Animals,Genesis,3,15
"Creation, Earth, Animals",Animals,Land Animals,Genesis,4,2
"Creation, Earth, Animals",Animals,Land Animals,Genesis,4,4
"Creation, Earth, Animals",Animals,Land Animals,Genesis,4,5

"========== ANIMALS ==========", , , , ,
"========== FISH SEA CREATURES ==========", , , , ,
"Creation, Earth, Animals",Animals,"Fish & Sea Creatures",Genesis,1,20
"Creation, Earth, Animals",Animals,"Fish & Sea Creatures",Genesis,1,21
"Creation, Earth, Animals",Animals,"Fish & Sea Creatures",Genesis,1,22
"Creation, Earth, Animals",Animals,"Fish & Sea Creatures",Genesis,1,26
"Creation, Earth, Animals",Animals,"Fish & Sea Creatures",Genesis,1,28


"========== ANIMALS ==========", , , , ,
"========== SERPENT ==========", , , , ,
"Creation, Earth, Animals",Animals,Serpent,Genesis,3,1
"Creation, Earth, Animals",Animals,Serpent,Genesis,3,2
"Creation, Earth, Animals",Animals,Serpent,Genesis,3,4
"Creation, Earth, Animals",Animals,Serpent,Genesis,3,13
"Creation, Earth, Animals",Animals,Serpent,Genesis,3,14
"Creation, Earth, Animals",Animals,Serpent,Genesis,3,15


























